Merged_Group,Count,Name,Topics Merged
66,606,"['66_battery_issue_how_draining', '246_battery_escalates_panel_damage']",2
52,604,['52_approved_upto_31st_will'],1
53,584,['53_issues_issue_service_refurbished'],1
54,563,['54_got_message_available_update'],1
55,562,['55_receive_service_updates_got'],1
56,545,['56_teslaindia_mumbai_import_on'],1
57,543,['57_electrical_aftermarket_accessories_message'],1
59,529,['59_ev_ndz_nnmm_and'],1
60,528,['60_yeah_replied_should_some'],1
61,521,['61_registered_got_central_account'],1
62,517,['62_reservation_sa_delivered_booking'],1
63,514,['63_max_200_getting_gives'],1
64,502,['64_will_fixed_power_then'],1
65,500,['65_delivery_car_dealer_option'],1
111,490,"['111_around_have_yes_more', '182_around_near_road_price']",2
68,475,['68_290_230_340_330'],1
70,469,['70_yeah_trade_imported_export'],1
69,469,['69_51k_45k_above_around'],1
71,468,['71_2air_issue_oem_car'],1
72,459,['72_yesterday_during_affected_area'],1
73,456,['73_able_below_ram_press'],1
75,445,['75_free_in_price_update'],1
76,442,['76_eae056ea_apk_data_exporting'],1
77,432,['77_ev_same_they_hev'],1
78,430,['78_nonsense_should_support_some'],1
80,426,['80_booked_vfm_waiting_2022'],1
81,425,['81_लगव_लम_यद_लग'],1
82,422,['82_rt_reach_ather_yeah'],1
83,418,['83_around_then_in_city'],1
86,414,['86_great_very_only_will'],1
85,414,['85_once_33psi_recommended_reset'],1
87,410,['87_3m_keep_insurance_in'],1
88,409,['88_sc_do_traction_updation'],1
89,401,['89_battery_cycles_tesla_cars'],1
115,401,"['115_statiq_apps_also_plugin', '260_android_app_ios_zconnect']",2
91,398,['91_continue_same_here_message'],1
92,396,['92_enjoy_ev_evs_used'],1
95,377,['95_kw_on_avg_per'],1
96,372,['96_use_aftermarket_update_updated'],1
97,368,['97_below_they_sites_issue'],1
98,366,['98_rajmargyatra_mumbai_rajmarg_mahamarg'],1
99,366,['99_option_arrive_broke_ticket'],1
100,364,['100_owner_have_irl_had'],1
101,362,['101_contact_pls_kindly_message'],1
102,360,['102_here_ioniq_around_sadly'],1
104,355,['104_service_cleans_accumulated_for'],1
145,340,"['145_problem_happens_malfunction_not', '267_fails_try_problem_happens']",2
105,337,['105_ayega_they_q4_getting'],1
163,327,"['163_evcc_battery_vehicle_cost', '234_pricing_evs_electric_ev']",2
108,326,['108_battry_soc_above_go'],1
109,323,['109_charges_cost_including_charging'],1
110,317,['110_hikes_location_not_99'],1
112,311,['112_status_happening_happen_above'],1
114,306,['114_validity_not_says_govt'],1
116,303,['116_dealership_will_vehicle_car'],1
117,300,['117_service_will_done_insurance'],1
119,293,['119_yeah_western_views_wa'],1
200,289,"['200_ev_evs_horsepower_nagar', '210_evs_ev_hyderabad_muzrai']",2
120,286,['120_availed_avail_ev_still'],1
121,286,['121_electric_rs_india_upcoming'],1
124,284,['124_mileage_expressway_city_expressways'],1
122,284,['122_service_change_do_cpl'],1
126,283,['126_dm_share_suggest_send'],1
125,283,['125_lakh_seems_message_qwd'],1
131,278,['131_market_hope_rancho_marketing'],1
134,269,['134_officialabq_teslaownerssk_summoning_eesl_india'],1
135,266,['135_nagar_mohan_delhi_service'],1
136,266,['136_approved_cost_garware_cr70'],1
138,262,['138_saw_next_onam_hardworking'],1
139,262,['139_rs_warna_cant_per'],1
140,262,['140_slot_slots_then_common'],1
141,259,['141_notice_no_complaints_portal'],1
142,255,['142_rate_cost_charges_per'],1
143,253,['143_service_direct_tpms_lr'],1
144,250,['144_thats_apologies_yet_cross'],1
147,244,['147_way_truck_towing_vehicle'],1
148,243,['148_respective_issues_customer_add'],1
149,242,['149_waiting_pending_review_will'],1
150,240,['150_ev_market_car_kagu'],1
214,240,"['214_complaints_complaint_customer_trying', '252_complaint_issues_response_customer']",2
152,236,['152_charges_cost_tmsc_kms'],1
153,234,['153_whatevr_around_fine_55ish'],1
154,230,['154_dealership_customer_expired_done'],1
155,227,['155_waste_features_fee_payment'],1
156,226,['156_sonam_up_changes_now'],1
157,226,['157_demand_will_profit_profitable'],1
158,224,['158_usage_thingsb_understanding_sre'],1
159,223,['159_check_pm_checked_issues'],1
160,218,['160_above_account_deleted_msgs'],1
161,214,['161_tata_aftermarket_enterprises_very'],1
162,213,['162_statiq_active_check_customer'],1
164,204,['164_electric_electricity_hcev_electrolysis'],1
165,202,['165_malls_kotak_customer_rupees'],1
166,202,['166_passengers_seats_issues_egress'],1
168,195,['168_pricing_cost_per_ev'],1
167,195,['167_cpo_message_available_edited'],1
170,191,['170_india_rajivkumar1_amitbhatt4u_respective'],1
171,190,['171_booked_grapevine_waiting_launched'],1
176,183,['176_cheaper_expensive_ncbirbhan_outselling'],1
177,181,['177_tata_socket_directly_kw'],1
178,181,['178_avail_ev_service_eko'],1
180,179,['180_ev6_ev4_payment_exchange'],1
181,179,['181_loaded_loading_load_message'],1
183,177,['183_after_monitoring_when_itpms'],1
184,170,['184_higher_chargings_above_40'],1
185,169,['185_marketing_adishakthi_budget_upgrade'],1
186,167,['186_status_maruti_in_deployed'],1
187,167,['187_sherwal_jai_festival_diwali'],1
188,166,['188_charging_100v_area_90v'],1
190,164,['190_ev_news_global_expo'],1
191,164,['191_get_issue_is_lifetime'],1
192,162,['192_surcharge_paying_discount_cost'],1
193,162,['193_purchase_delayed_next_paid'],1
194,160,['194_rudra_vehicle_car_per'],1
195,159,['195_maruthu_maruti_maruthi_maru'],1
196,158,['196_including_transfer_rtos_payable'],1
197,158,['197_issue_problem_seems_flashed'],1
198,157,['198_yeah_sucks_approved_arai'],1
199,156,['199_9000rs_rsn_2l_customers'],1
201,151,['201_status_app_pending_ios'],1
203,147,['203_incident_crash_reported_happened'],1
202,147,['202_update_updated_upgrade_available'],1
204,146,['204_rate_advertise_booked_no'],1
206,143,['206_manually_changed_auto_on'],1
205,143,['205_aae_need_online_will'],1
207,141,['207_delayed_them_like_they'],1
208,141,['208_15m_above_15mts_upto'],1
209,139,['209_20pcs_ev_stripe_performance'],1
211,136,['211_considering_soonish_rs17000_outdated'],1
212,136,['212_free_where_recorded_users'],1
213,136,['213_directly_them_nearby_they'],1
215,135,['215_reinserted_issue_removing_gun'],1
216,134,['216_invitation_progress_bettery_rmtesla'],1
221,129,['221_them_send_submitted_post'],1
223,126,['223_city_considering_fc_rent'],1
224,126,['224_epe_requires_e20_evenwent'],1
225,124,['225_engineering_companies_trips_design'],1
226,123,['226_members_group_survey_understand'],1
227,120,['227_vehicle_serviced_vehicles_zindabad'],1
228,119,['228_below_21kwh_164wh_24kwh'],1
229,119,['229_jaipur_sidharth_charged_resolved'],1
230,117,['230_outlet_4fc_sc_not'],1
232,116,['232_trickle_90mims_8000mah_12volts'],1
233,115,['233_suggested_hta_battery_12v'],1
235,115,['235_latest_evolves_new_adaptable'],1
236,113,['236_kochikayamkulam_tata_sridhar_jaipurr'],1
237,113,['237_500_xuv500_xev_xuv400'],1
238,110,['238_smartchargev_configured_configure_check'],1
239,109,['239_earlier_extenders_around_limited'],1
240,109,['240_aec_see_increase_dte'],1
241,109,['241_bttery_45300_reimbursement_send'],1
242,109,['242_creatives_change_feature_new'],1
243,108,['243_will_updates_considering_offer'],1
245,107,['245_central_replaced_issue_detqils'],1
247,107,['247_15mtrs_vasline_info_ibhavr'],1
249,106,['249_motors_plug_damage_crm'],1
248,106,['248_cheaper_not_will_okay'],1
250,105,['250_supported_unable_inbuilt_dec24'],1
251,104,['251_will_tco_do_sensible'],1
253,104,['253_og_pity_you_nev'],1
254,102,['254_list_accessories_request_builds'],1
255,100,['255_aprroved_typ_21990_open'],1
256,100,['256_regulator_breaker_elcb_troubleshooted'],1
257,100,['257_billed_paying_tataev_will'],1
258,100,['258_electirc_amicikart_share_market'],1
259,98,['259_cant_enable_got_on'],1
261,98,['261_working_reconnected_reconnects_awaiting'],1
263,97,['263_powerdrift_plugvehicle_450plus_great'],1
264,97,['264_successfully_private_successful_authorises'],1
265,96,['265_restricted_no_private_kn'],1
266,94,['266_booked_free_site_premium'],1
268,93,['268_suggest_suggestion_consider_idea'],1
271,91,['271_evs_alert_issue_issues'],1
270,91,['270_issues_potholes_great_troublesome'],1
272,90,['272_ooty_strate_extort_regions'],1
273,89,['273_issue_shocks_whatta_fusebox'],1
274,89,['274_globally_recently_post_prob'],1
275,89,['275_updates_updated_available_update'],1
276,88,['276_transit_v2v_lr_support'],1
277,88,['277_meantime_deadline_join_visit'],1
278,87,['278_issues_fcev_malfunction_xev'],1
279,86,['279_sms_mobile_activate_activated'],1
280,84,['280_awesome_current_across_great'],1
281,84,['281_per_send_bateery_rc'],1
282,84,['282_where_3months_nopes_manufactures'],1
283,84,['283_benefit_sdi_allows_improved'],1
284,82,['284_percent_units_remaining_per'],1
285,82,['285_attempting_atharvak5_atharva_waree'],1
286,82,['286_7k_no_rsa_resets'],1
288,80,['288_undiagnosed_certain_nope_is'],1
