Topic,Message
28,"Dear All, Is the Tata Power Ez Charge App working?"
28,Tata power EZ app showing Tesla chargers 😜
29,Check aux battery as well.
29,its mostly aux battery issue. Check the voltage of aux battery is you can
29,Aux battery issue check with that
30,Not sure about the price
30,Then what is the price?
30,Is it a good price?
31,press brake first then start
31,⚡ 3-Step Vehicle Start Process 1. First Press (No Brake) Press the Start/Stop button without pressing the brake pedal → The button light turns Orange 2. Second Press (No Brake) Press the Start/Stop button again (still without brake) → The light turns Green 3. Final Start (With Brake) Now press the brake pedal and press the Start/Stop button → The vehicle enters Ready mode
31,Hand brake can be used with the accelerator. Not the normal brake
32,who is the dealer ?
32,I got it from dealer
32,You got it from dealer
33,Confirmed with 70mai customer care. No need to connect rear cam with reverse light. Reverse cam gets power from front mirror dashcam. This seems best possible solution for XT owners who want to install reverse camera without voiding the warranty.
33,Hi all. I am planning to get Dash Camera installed for my EV. Does installation of dash camera cause any issues incase of insurance. Also is it advisable for getting dashcam installed for EV vehicles Also please suggest any good dashcam along with the installation
33,Okay u mean reverse parking camera not dashcam..... My car is xz+ it has parking cam already
34,"Do u AC charge once a week till 100%? Do u charge 100% every week even if battery is at 30-40%? Or u wait for it to go around 15-20, then charge till 100% even if it takes 15-20 days? Charge to 100 every week or charge to 100 only when battery reaches 20 or so?"
34,Can I charge battery to 100% ?
34,Fast charge to 100% should be same as slow charge to 100%
35,On highway up/down road & ac or without ac ?
35,Is this range with AC or without?
35,With ac without ac? Highway or city drive with traffic Driving range
36,range @ full charge without AC
36,How is your experience on kms per full charge ?
36,What's the range for full charge ?
37,So you have people all over India!
37,When it will come to India ?
37,It will be all over India
38,Which is best option for led lights in high or low beam?
38,I have changed my low beam to of LED and Halogen is good ..
38,LED bulbs in high beam I got installed at the showroom
39,Best thing you can do is get your new car ceramic coating or ppf for future reference. This process will fix your car paint and remove all scratch and protect your car paint and shine for upto 5 years. I have done ceramic coating on my Nexon max intensi teal it's one step better than company finish. If anyone interested in ceramic coating you can contact me.
39,Anyone who did coating ppf or ceramic
39,Anyone who have done ppf or ceramic coating on their nexon ?
40,I go below 10 once in a month
40,And don't go below 10%
40,you should go below 20% 15% or 10%
41,Portable charger is 7kw?or 3kw?
41,Do you have 7.2 kw charger?
41,Is it for 3.3 kw charger?
42,"‼️Open letter to Tata Ev Team ‼️ 👉🏻 It’s been a while 2020 to 2025 we have seen Tiago,Nexon,Punch,Curvv electric ,if u ask me all are benchmarks in their segment. 👉🏻 Off late ⏰ with the errors you have got in Tata Evs ,plus quality control issues,you people know better than us,everything is out in open domain. 👉🏻 Every-time we post anything related to a launch or else to Tata cars there comes a “horror story” or else which makes us feel is only Tata motors having these issues or it’s everywhere ,be it users who are using Tata EV’s as YTubers like harsh explorer or evolution nicks & all the early adopters have trusted Tata motors have opted for it as had no choice with choice we know what has done to the market share of Tata EV’s 👉🏻 If we know what’s going on customer front then you people are more aware of it ,with errors or software bugs it’s kind of difficult to recommend a Tata ev to any one be it even the best tech auto enthusiast 👉🏻 Yes,early tech could be issues but it’s time now,if it’s now it’s not ever,yes machines do fail,issues come yes Tata motors have addressed them yes there will be unsatisfied customers as well agree 👍 but it’s the response that matters We can have a feedback it’s u people are who have to take it : ✅ Introduce a Battery extended warranty for owners who have got HVC errors or replaced batteries 🪫 even beyond the scope of gambit atleast keep it to 1.50 lakh km. ✅ Introduce a comprehensive buy back for early Ev owners certified 2nd hand electric vehicle market with paid extended battery warranties ✅ Introduce lifetime warranty for all your electric cars 🚗 it’s high time you do it ✅ Not seeking any discounts on Tata EV’s per se,but with battery prices we all know things can be done better especially with Punch-tiago EV’s ✅ Please 🙏 ask your dealerships to be proactive ,many are like that,but there is scope of improvement It’s vocal for local as they say we have to vocal about every thing good or bad All the luck for harrier.ev Regards Auto enthusiast"
42,For all EVs or only for TATA ?
42,its 5 for TATA EVs
43,Need to check with sc
43,There are good sc also
43,Which SC is this ?
44,3% u can get hv error
44,it is not a HV error
44,Getting Hv critical alert error What to do?
45,I use polycab 2.5 sq mm 3 core wire
45,Guys what's the price for a meter of 6 sq mm 3 core cable?
45,"For your 7.2 kW charger, what type cable did they use? 6 sq mm copper, 3 core, armoured?"
46,What's the range you get ?
46,What is the range you get?
46,what is the range you get ?
47,Which battery is Mahindra using?
47,This can with tata and mahindra too
47,And that too to mahindra
48,now we have group there
48,Then y u in this group???
48,What this in the group???
49,But after some time it started charging
49,and now it started charging again….
49,Is it not charging ?
50,Please DM me your number
50,Trying to call but no response from your end .. have DM you my number .. please call back
50,Can you please DM me the contact details
51,Punch and new nexon ev
51,Punch ev or nexon ev ?
51,I have punch ev not nexon ev
52,Great ! Loan @ what Interest rate?
52,That no interest loan is great
52,What is the ev loan interest rate?
53,"As long as the battery is under warranty, we are not suppose to repair it by any means. Be it the hardware side or the BMS software side. I don't know how TATA repairs a faulty battery pack. But there is absolutely no transparency in their warranty policies. No where it is mentioned that they will replace with a refurbished pack. Also no where it is mentioned they will give a new battery either! They just say, a ""similarly aged"" refurbished battery will be replaced. It is thoroughly tested and the customer need not worry. When I ask how do they concluded the ""age"" of the battery pack, they don't have a proper answer. Some say, based on the kms and age of its previous car, some say it is based on the SOH value. Both are un-reliable! SOH value can vary based on lot of factors. By changing a few cells, SOH can be boosted but it is not the right one! Kms of previous car is based on the car's odo reading and the service records available with TATA! This can also vary if the car got a ECU and cluster replacements before!"
53,"After my battery replacement I asked reply of for set of questions from TATA Motors. 1. How can the replaced battery be older than the existing battery? 2. What is the Warranty policy on HV battery replacement? 3. Whether TATA EV owners are eligible for new battery replacements? 4. How would I know the SOC of the replaced battery? 5. Why refurbished battery is fixed on my car? 6. Am I not eligible for new battery? If not inform me SOC of replaced battery. I did not get any reply. Then I posted the same in X, after which Tata motors have followed up the matter and connected me to CRM. To my surprise he told me they have installed refurbished battery for time being and my original battery shall be sent for repair and servicing after which they would fix the original repaired battery in my car. This matter was never told by SC people to me even I started shouting at them. I don’t know why TATA Motors is not replying point wise in email. State CRM could not also reply to set of questions. Why is Tata motors afraid to reply?"
53,"If the battery is replaced due to an accident by the insurance company, that replaced battery pack may not be covered under TATA motors warranty terms. One has to check with the insurance company about the new battery packs warranty. As of now the battery pack may still be supplied by Tata motors itself via the insurance company, but warranty of the new battery pack is not clear."
54,Is it there in Tigor??🤔
54,Will it for Tigor EV?
54,This is a Tigor EV
55,We should also get this by software update
55,Did u get that software update ?
55,Do they update the software after 7.5 km
56,Any update on Tesla India?
56,Tesla is not available in India
56,From Tesla's in US to Tesla in India
57,What about the warranty then?
57,How is it possible to do under warranty when warranty is over?😅
57,Is this your vehicle is in warranty..?
58,This may be earthing issue
58,But what about the earthing
58,And you have good earthing
59,"Hey there F, and welcome to TATA Tiago EV / Tigor EV All India Elite Club !!!! How are you?"
59,"Hey there P.​H, and welcome to TATA Tiago EV / Tigor EV All India Elite Club !!!! How are you?"
59,"Hey there 🦅, and welcome to TATA Tiago EV / Tigor EV All India Elite Club !!!! How are you?"
60,If Elon is nearby 😂
60,Yeah. But when you go work for Elon.....
60,Elon india and me 🤔
61,When we can get subsidy
61,Will u get any subsidy after that
61,but no subsidy on it
62,Are you booking today 🥳
62,Booking not opened how did you booked 😂
62,How to check booking no
63,What range are you getting on your Nexon Ev
63,Hi Nexon EV Max range?
63,Nexon Ev Max Range (City) ?
64,How to reset this ?
64,You have to reset it.
64,U have to reset it.
65,your nexon color is white ?
65,Will it be good on white color?
65,Hi.. just got confirmation from dealer for nexon ev .. I have booked teal blue colour now getting white colour option for sooner delivery(with in this week)…just to have opinion of group members .. blue or white… which look better… I opted out black from booking due to total back interior.
66,I got 33.8 km of range without AC in 14% of battery from 100% to 86% yesterday but as you guys can see wh/km is only 81.2 still i expected more range. Can anyone tell me how to calculate range using wh/km
66,The normal range is 180 km till 80% battery consumption. Remaining battery every 1 km it's consumption of 2 to 3% battery
66,"Nothing is wrong with your battery. If you can bring down the consumption to 125 wh/km, you will get 240-250 kms. Last 10% can give you 25 to 30 kms range."
67,Ok ...thank you so much
67,Ok thank you so much 🙏
67,Thank you for 5 ⭐️
68,I will say 200 and 300
68,"Yes, or else it is 200-220 max"
68,At 80-90 max range is 200-220
69,people who have done 40K in 1 year have not paid more than 15-20K i think
69,U can get a good one at 50k
69,"Yes, it should cost about 50k"
70,Brother you have to study why China is manufacturing hub.......tough government guidelines to penatrate Chinese market...Here modi has started make in india.....similar is followed strictly in China.......If any company want sell there products in China they have to set up manufacturing plant with significant share of Chinese government which helps government to control manufacturing premium segment no R&D only copy cat because manufacturing set up is in country.....cheap labour because no human value......import per bhi hai government can import from China but can't export due to tough laws towards import...abhi indian government import law tough kar de to public hi gaali China there is no democracy which Is the main reason of their growth.....it's big topic
70,Don’t import from china 🇨🇳.. not good qualiTY
70,but this is from china
71,I think its for wireless Android auto
71,Wireless apple carplay and android auto
71,Now it has wireless android auto
72,Anybody has experienced driving in water logging.. If Battery submerged in water will that impact??
72,How deep was the water?
72,That is for water .
73,"R , press the button below within 3 Minutes to be able to write in the group👇🏻"
73,"N K , press the button below within 3 Minutes to be able to write in the group👇🏻"
73,".... , press the button below within 3 Minutes to be able to write in the group👇🏻"
74,🔥👏🏻👏🏻👌🏻👌🏻 <This message was edited>
74,: <This message was edited>
74,👏👏 <This message was edited>
75,Tata nexon EV ( not max)
75,Its for Tata Nexon EV
75,Of the Tata Nexon EV
76,"Animation Not included, change data exporting settings to download. 10.6 KB"
76,"Animation Not included, change data exporting settings to download. 100.5 KB"
76,"Animation Not included, change data exporting settings to download. 6.5 KB"
77,No I will go for curvv ...
77,It's there from curvv ev
77,This is on the Curvv
78,The video is out ☝️🏽
78,"Check this video, video is 🔥"
78,Check this video A K
79,"Yes. However Nexon will charge at around 3KW, the same rate as when using the Nexon charger. It won't be any faster regardless of the capacity of the charger as Nexon is limited to max 3KW on AC charging. MG ZS can use the 7KW power of that charger."
79,can we charge nexon with 7.4 Kw
79,How much kw does Nexon ev max support for the fast charging at the max
80,I have booked max Xz+ lux
80,Which model buy Xz Or Xz plus tech lux?
80,Going to buy .. xz+ or XZ+ lux ..
81,क्या यह सही है की टाटा नेक्सों ev को 30% से 80% के बीच ही रखना चाहिए इसकी चार्जिंग को कभी भी 100 परसेंट नहीं करना चाहिए हर जगह वेबसाइट पर ऐसा लिख रहा है पर टाटा की तरफ से ऐसा कुछ नहीं बताया गया है कृपया कंफ्यूजन दूर करें
81,मेरे पास टियागो इवी एक्स.टी.एल.आर. है मैं हजार किलोमीटर में एक बार बैटरी को 10% से नीचे जाकर 100% चार्ज करता हूं. मैंने आज तक 91000 किलोमीटर गाड़ी चलाया है जिसमें मैं आज तक कोई तकलीफ नहीं हुआ है. 80000 किलोमीटर पर चारों टायर चेंज कराये है और आज भी 200 किलोमीटर तक की रेंज देती है यह मेरी बैटरी चार्जिंग केमिस्ट्री है मैं फास्ट चार्जर पर 95% से ज्यादा कभी चार्ज नहीं करता हूं
81,मैं तो नहीं सोच रहा.. मेरे पास तो स्टार्ट से 2004 से बोलेरो है... वह भी नहीं बेच रहा... पर यह कुछ अलग एक्सपेरिमेंट कर रहे हैं इसलिए घरवाले और रिश्तेदार से डिस्कस करने पर उनको अपने विश्वास में नहीं ले पा रहा.... क्योंकि मेरे लगभग सौ 100 किलोमीटर में कोई ev नहीं आई है अभी तक...
82,Is that guy on twitter?
82,No that's not what the tweet is about
82,Tweet. Yes or No 😂
83,You are getting this range in traffic conditions or highway driving?
83,City driving I'm getting 180-200 range.
83,range all depends on driving
84,Is it single phase ?
84,Does 7.2 kw need 3 phase connection or single phase
84,do we need single phase or 3 phase
85,What’s the tyre pressure you using?
85,Did you check the tyre pressure?
85,Tyre pressure for an nexon ev?
86,Anyone from ola service here?
86,All ola comes with ola battery pack already
86,Is this ola or what
87,RAT BITE cover h ?
87,Can be a rat bite.
87,Is this a rat bite? 🤔
88,is it max or prime
88,"No , I have prime"
88,This is for Prime not Max
89,This for NMC chemistry not LFP
89,Old one was NMC new one is LFP
89,did they said nmc or lfp?
90,ok scooter is this way
90,I'm using 9 yrs old scooter so I'm ready for EV scooter
90,When the scooter is new range will be less
91,"Let all those are happy with open stations please continue charging there only at all weather conditions So that we few who is really needful for a good infrastructure station gets a gun to use The pattern seen now is all good/greatly built stations are occupied /guns in use Even if there is a open station in those nearby vicinity So humble request to other ev users here who are happy with open stations ,please continue using the same 😜,please forget everything mentioned above😅 <This message was edited>"
91,"I don't think so Since mahindra ev team and design team have definitely seen greatly built stations with high kw machines from a major CPO here and definitely might have heard the user feedbacks on how it can attract more ev users into their facilities in all adverse weather conditions repeatedly But sadly this infrastructure design team even after spending a huge amount on these newer model stations ( a step which could have been easily done with a simple redesign or re alignment of that branding coverage which would have benefited ,is sadly omitted ) mayb their market research team have given feedbacks this is more than enough as far it's operational ( since it's not so cheap If I or people of similar mindset travel enroute and see a mahindra ev station vs another CPO built great stations, there is no reason to choose this station ) Hope other CPOs continue building great stations taking our feedbacks positively and let your results also be positive"
91,"Congratulations and electrosaur team ,keep up the good work ,continue building great stations in great locations 👏🏻 Also please feel free to share us the pictures and details of your existing stations /upcoming stations I have seen couple of your stations which are built greatly 👏🏻"
92,The range I am getting with my EV MAX. 👆
92,Basically if your daily running is less than 150 kms then EV prime is the best but if you go through more highway driving and less city driving then Max is the better option available. I am getting a range of 300 kms while my friend is managing around 200-220 kms
92,And getting only this range in ev max
93,2 years and 3 months
93,2 years and 2 months
93,In 2 years 2 months.
94,"Thanks, I will try that"
94,Thanks 🙏 will try that
94,Will try it Thanks 😊
95,Which is 5.4 km/kwh .. not bad
95,Today’s average is 5.2 km/kWh
95,And what is your wh/km consumption?
96,I don't have cruise control
96,i do not have cruise control
96,This is cruise control only
97,Is this because of cell balancing problem...??
97,"Cell balancing is a process used in multi-cell battery systems to ensure that all individual cells within the battery pack are charged and discharged evenly. It helps to maintain the capacity and performance of each cell, as well as prolong the overall battery life. In a battery pack, individual cells may have slight variations in their electrical characteristics, such as capacity or internal resistance. Over time, these differences can become more pronounced, leading to imbalances between cells. Some cells may get charged or discharged more than others, which can result in reduced overall battery capacity and potentially even damage to the cells. To prevent cell imbalances, cell balancing techniques are employed. The two common methods for cell balancing are passive cell balancing and active cell balancing: 1. Passive cell balancing: This method uses passive components, such as resistors or bypass diodes, to redirect current away from cells that are fully charged. It allows the other cells in the battery pack to continue charging until they reach the same level. Passive balancing is typically slower and less efficient than active balancing. 2. Active cell balancing: Active balancing involves actively redistributing energy between cells to equalize their state of charge. This is typically done using electronic circuits or specialized balancing chips. Active balancing is more effective in achieving precise cell balancing but can be more complex and may require additional components in the battery management system. Regarding the suggestion to always charge a battery to 100%, it is not generally recommended for lithium-based batteries, including LFP batteries. While occasional full charges can be beneficial to recalibrate the battery's state of charge estimation, regularly charging a lithium battery to 100% can contribute to increased stress on the cells, potentially leading to faster degradation over time. To optimize the lifespan of lithium batteries, including LFP batteries, it is generally advised to charge them to around 80% or 90% of their capacity for regular use, as this can help reduce cell stress and prolong overall battery health. However, occasional full charges or ""topping off"" can be done to balance the cells and recalibrate the battery's state of charge estimation. It's worth noting that specific battery chemistries and manufacturers may have their own recommendations for charging and cell balancing, so it's always a good idea to refer to the manufacturer's guidelines and recommendations for your specific battery model."
97,How to do Cell Balancing ??
98,I was charged toll in mumbai pune expressway doesn’t ev have toll exemption in Maharashtra???
98,Anyone knows when EV cars will be toll free on mumbai-pune expressway??? they are still charging the toll
98,They are charging for toll
99,What about insurance rsa ?
99,Rsa is for 3 years?
99,Will have to call rsa
100,Even your MG ZS EV ..
100,How is your MG ZS EV
100,In mg zs ev ??
101,There is a WhatsApp group?
101,I mean if people request a telegram group then will do that instead of WhatsApp
101,Are you not in the owners telegram group ?
102,Have Kona with me for the day
102,Even Kona has the same issue
102,What is the price of kona?
103,What is your soc ?
103,And what's the SoC you are at??
103,From what SoC to what SoC??
104,What's the problem if you wash?
104,Can I Under Wash My Car?
104,and can we pressure wash the car
105,It will be done at the time of delivery
105,When are you getting delivery ?
105,And did you get the delivery?
106,"Yes, charging is not an issue but you need to ensure gun release button should work else gun will stuck in the car. If you can't unlock the car how will you release the gun"
106,May be the gun is not getting locked. Switch off and remove the gun. Now switch on the charger and insert the gun. It should work. If not then Pl tell.
106,Hi we are facing the issue with the ev fast charging gun locking When we connect the gun charging is not accepted and gun is not getting locked and if it gets locked then changing stops in 1 min and gun get stuck We had faced this problem one month back
107,Can you check trip A
107,I am also planning for a long trip .. that's y ..
107,Which route and trips done
108,Why there is sudden drop in battery percentage when it goes below 10%
108,We should not go below 10% battery ?
108,But battery should be below 20%
109,Only 5% GST is there on EV chargers
109,It's not again GST It's on that only GST.
109,And for EV the GST is 1%
110,Use Statiq app for the same😅
110,U can use the statiq app
110,This is the statiq app
111,"Yes, around 1 to 1.5 Lakhs"
111,That will cost you 5-6 lakhs
111,1) 7 lakhs 2) 9 lakhs
112,Then it's a software error
112,This is the error I'm getting
112,What is this error ?
113,plug heating issue is ur plug hot?
113,plug heating issue check plug is hot?
113,Plug heating issue. Check if the plug is getting hot
114,No in UP they are charging road tax for evs
114,How much was the road tax for you ??
114,Some that there will be no road tax.
115,Have you check this in plugshare app?
115,You can check in PlugShare app
115,This is from plugshare app
116,What all to check on PDI
116,We can go for pdi??
116,Have u done PDI ??
117,After getting repair also no use of it
117,May i know what is that one repair?
117,good that it was replaced....usually they repair it and give it back
118,Yes for ev car charger meter
118,"No, it's a separate meter for EV"
118,We can get separate meter for ev
119,I want every news article
119,Check this News Article 👆
119,Was in some news article on that 😂
120,Is UP EV subsidy still there or not
120,What about subsidy in Tiago EV
120,Is there any subsidy ?? On ev ?.
121,Why they used one at Audi?
121,I don't know about eqc but Audi can take more than 200 kw
121,"If Model 3 has more than Rapid, I guess it must be more than Model's ""supposed"" competition.. Merc, BMW n Audi"
122,What filter are you using?
122,They have changed the car ac filter in this service
122,there's a filter use it
123,Extended warranty is for 2 years
123,It is in extended warranty as of now..
123,if i have extended warranty then
124,What was the speed of your vehicle
124,at what speed do you drive?
124,At what speed do you get it?
125,I think it's available with harrier ev
125,It will come in harrier ev
125,There's Harrier ev as well.
126,Which Location you can share ?
126,which location is that at
126,Which location are you in?
127,can we charge the vehicle during rain?
127,can we charge during rain
127,Will there be any issues while charging EV during rain in open parking? Any experience of charging during rain??
128,in second service do we need to have gear oil change
128,Gear oil is nothing but transmission oil
128,Gear oil did they change?
129,Don't drive with turtle mode
129,Turtle mode is different from HV alert. Turtle mode is when you are low on battery (5%).
129,Turtle mode below 15% with HV error ? Or only turtle mode?
130,got red light blinking and green light also blinking…but charging is happening
130,got red light blinking and green light also blinking but charging is happening
130,If you have red and green light blinking and vehicle is charging too
131,Why you do this mg
131,I think 4-5 in mg
131,That's the same as mg!
132,IRA.ev is the new app for EV
132,This is ira ev app.
132,It's also there in IRA app
133,So it's bms update issue only
133,Is there a new BMS update???
133,BMS should be update. 😀
134,@NCBirbhan it was just an update?
134,@NCBirbhan what do you say
134,Who is this ? @NCBirbhan
135,Sagar Motors in Delhi or G. Noida?
135,Sagar motors which place sir.
135,Do it for Sagar Motors
136,Any one know about Garware Sun control film for front glass? Which code is preferable?
136,In windshield minimum 70% transperent film is allowed as per Law Other glass 50%
136,"For those who want to apply Garware Ice cool sunfilm on their car. This is a premium film and very transparent. I applied for windshield too, so 2 roles I bought. And for rear glass I went for Garware basic film. Other stores quoted me 11.5k Nashik Phata, Pune."
137,No 15 amp socket yet
137,Any 3 pin socket means 5 amp socket also or only 15 amp socket?
137,The question is.. is it safe to connect 6 amp charger to 6 amp plug point. Getting 16 amp plug is not always easy. Will 6 amp plug from home heat or burn. The gist is 16 amp home socket support 13 amp EVSE with out any problem... Can 6 amp home socket support 6 amp EVSE if socket is from branded companies and underlying cable size is as per standards
138,Can you please share the pics?
138,Can you share a pic?
138,Can you please share the pic?
139,Go for Petrol Car 👍
139,No petrol or diesel ever
139,"Let's say diesel is 8, petrol is 10"
140,I have open car parking
140,Do you park car in open parking?
140,Only parking is an issue
141,Join this group we you want to file consumer court case
141,And go to consumer court
141,Please go to consumer court.
142,The rate for this meter is like normal meter?
142,I just check on meter
142,Yes it’s from my meter
143,Tpms not working on my nexon
143,I think it's for TPMS.
143,You can just reset the tpms.
144,Will check it out. Thanks
144,"Let me check, if I can get."
144,That I didn't check...let me check
145,Had to switch off the car lock the car wait for 5 mins and start again and it did
145,If i turn off vehicle will I able to start
145,Do off the car and start after some time
146,"A startup from Chandigarh started around 2014 from scratch. They have gotten Rs 240 Crore till now and give Amazon India electric trucks. This startup, called Evage Ventures, is confident that their locally designed electric vehicles will change how things are delivered in India. They worked hard for eight years, got over 20 patents, and made their first model with the help of companies who will use them, like big online stores and delivery companies. These electric trucks will cost less to use than normal ones, which is good for the people who buy them. The CEO, Inderveer Singh, says their goal is to make them 25% cheaper to use than regular trucks. They started in 2014 when electric vehicles weren't common. They had to learn a lot and talk to delivery drivers to understand what was needed. Their final product was made with the input of early customers like Amazon India. Evage's electric truck is different from others. It's made with special materials and is designed for lightness and strength. It's also the only one built on a special platform. They made everything from the motor to the battery themselves. The market for small electric trucks in India is big. They've raised $28 million from investors to build their trucks and meet the demand. #startup #electric #emotors"
146,"* - 2000: Virtually zero EV sales - 2010: ~17,000 EVs sold worldwide - 2015: ~550,000 EVs sold worldwide - 2020: ~2 million EVs sold worldwide - 2022: ~6.5 million EVs sold worldwide *China's EV Market:* - 2010: China accounted for ~10% of global EV sales - 2015: China became the largest EV market, with ~250,000 EVs sold - 2020: China accounted for ~50% of global EV sales, with ~1.3 million EVs sold - 2022: China remained the largest EV market, with ~3.3 million EVs sold *India's EV Market:* - 2010: India's EV market was negligible - 2015: India saw ~1,000 EVs sold - 2020: India sold ~30,000 EVs - 2022: India sold ~60,000 EVs If you'd like to visualize this data, I recommend checking out: 1. International Energy Agency (IEA) reports on electric vehicles 2. BloombergNEF (BNEF) electric vehicle outlook reports 3. Government of India, Ministry of Heavy Industries and Public Enterprises reports on electric vehicles"
146,To make EVS a future in India
147,"Yes, I requested for towing service in morning, they said only front wheel towing is available and if any damage is there while towing, it's on me."
147,Is towing the only option now?
147,Will need towing to service centre
148,You can add them in the CPO group.
148,One CPO or all ?
148,That too from the same CPO
149,Test drive is also available now
149,When are you going to test drive?
149,How to get test drive
150,Do you use 7d mats?
150,Floor mats I’m using 7d floor mats
150,Floor lamination not recommended... Go with 7d mats instead..
